field,replicate,architecture,target_su4_shot_gate_exposure,achieved_su4_shot_gate_exposure,achieved_modeled_entangling_exposure,achieved_training_shots,objective_queries,fidelity,zz_long_range_mae,energy_density_error,half_chain_entropy_error,joint_failure,physical_su4_blocks,independent_coordinates
1.1,80,MPS,260000000,260400000,781200000,17360000,3472,0.5735187014499047,0.05540008559975281,0.11556592119249487,0.4351930010391092,0.4264812985500954,15,225
1.1,81,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.545653237450517,0.05424340247635155,0.13439373122115295,0.22232701384776887,0.45434676254948225,26,225
1.1,81,MPS,260000000,260400000,781200000,17360000,3472,0.6354611402612992,0.05540173573400381,0.09078551961088444,0.2048810058222687,0.3645388597387005,15,225
1.1,82,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.407587738600333,0.05643427075423873,0.1571273130642612,0.19542861245066268,0.5924122613996671,26,225
1.1,82,MPS,260000000,260400000,781200000,17360000,3472,0.6189344498305859,0.055399478354492965,0.09378596109961013,0.17766127093886092,0.38106555016941435,15,225
1.1,83,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.447227655875056,0.054129428846905046,0.17436839566356155,0.2832862637959112,0.5527723441249441,26,225
1.1,83,MPS,260000000,260400000,781200000,17360000,3472,0.6346028402136029,0.055398225540082995,0.0997421549230737,0.09612291534801798,0.3653971597863974,15,225
1.1,84,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.5820580177822725,0.0583080868589559,0.11721223674636394,0.1065389632528107,0.4179419822177276,26,225
1.1,84,MPS,260000000,260400000,781200000,17360000,3472,0.5987054162731739,0.05539887373424359,0.11433576333718132,0.17864732040145676,0.4012945837268257,15,225
1.1,85,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.4732625752434571,0.0560084889677826,0.15607697919554564,0.2425965166750425,0.5267374247565428,26,225
1.1,85,MPS,260000000,260400000,781200000,17360000,3472,0.5766960914227972,0.05540009252980156,0.12048475044650564,0.16799188680697946,0.4233039085772028,15,225
1.1,86,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.39481660707822674,0.05984358506662142,0.17019174568784545,0.14882990843045263,0.6051833929217736,26,225
1.1,86,MPS,260000000,260400000,781200000,17360000,3472,0.5726180862319196,0.05539613669967084,0.11823477257842252,0.20080034034040267,0.42738191376807977,15,225
1.1,87,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.5752336176267683,0.04898055790956966,0.10529179333677963,0.21219883750554283,0.42476638237323194,26,225
1.1,87,MPS,260000000,260400000,781200000,17360000,3472,0.6143032910303886,0.05539942112631176,0.10203486814556761,0.22736903873143824,0.3856967089696113,15,225
1.1,88,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.4581699056240738,0.055035742178998884,0.164366202960329,0.22268939430314616,0.5418300943759261,26,225
1.1,88,MPS,260000000,260400000,781200000,17360000,3472,0.5530415630968221,0.05540029392592573,0.13050540449727843,0.19893643920527043,0.44695843690317805,15,225
1.1,89,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.5472599747123958,0.052966361102067275,0.1154870773905241,0.2202006555145576,0.4527400252876045,26,225
1.1,89,MPS,260000000,260400000,781200000,17360000,3472,0.6263288131897545,0.05540185261967333,0.10169994364346047,0.4077509650393224,0.3736711868102456,15,225
0.9,80,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.9377649698727595,0.12703093546880526,0.011470791126620306,0.019391340447053595,0.062235030127240076,26,225
0.9,80,MPS,2600000000,2601600000,7804800000,173440000,20672,0.8705172150765381,0.2243432118442158,0.0180521178992874,0.09140944098434556,0.1294827849234611,15,225
0.9,81,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.942277195780674,0.059315620834317184,0.010808619586311297,0.010548449794436476,0.057722804219326296,26,225
0.9,81,MPS,2600000000,2601600000,7804800000,173440000,20672,0.9536260824356864,0.14456541965880085,0.006965521700133648,0.07444232470953394,0.04637391756431264,15,225
0.9,82,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.9695503175718733,0.031777556176046065,0.0063043175984824895,0.04544033402893932,0.030449682428128066,26,225
0.9,82,MPS,2600000000,2601600000,7804800000,173440000,20672,0.7199733847360038,0.2945273514762789,0.03238433129306406,0.22069385578063994,0.2800266152639965,15,225
