metric,scope,field,target_su4_shot_gate_exposure,pairs,mean_difference,standard_error,interval_level,interval_lower,interval_upper
half_chain_entropy_error,fixed_field,0.9,26000000,10,-0.13637545592126268,0.11710486123263696,0.975,-0.4508032785458289,0.17805236670330357
half_chain_entropy_error,fixed_field,1.0,26000000,10,-0.07106351417420576,0.07409835979244091,0.975,-0.270018413948218,0.1278913855998065
half_chain_entropy_error,fixed_field,1.1,26000000,10,-0.01530029259193294,0.10438961843055297,0.975,-0.29558755037299883,0.26498696518913295
half_chain_entropy_error,equal_weight_fixed_fields,,26000000,30,-0.07424642089580047,,0.975,-0.18913111828603543,0.05103626674030723
half_chain_entropy_error,fixed_field,0.9,260000000,10,-0.0756310030708835,0.07332138635336354,0.975,-0.27249972073328477,0.12123771459151775
half_chain_entropy_error,fixed_field,1.0,260000000,10,-0.13486430934861948,0.04392791402909471,0.975,-0.2528112349947596,-0.01691738370247936
half_chain_entropy_error,fixed_field,1.1,260000000,10,-0.02428904219519467,0.03876893167045974,0.975,-0.12838404424986516,0.0798059598594758
half_chain_entropy_error,equal_weight_fixed_fields,,260000000,30,-0.07826145153823255,,0.975,-0.14426587030321628,-0.01076201249317664
half_chain_entropy_error,fixed_field,0.9,2600000000,10,-0.07681975311398839,0.0158199973921837,0.975,-0.11929661770860969,-0.03434288851936709
half_chain_entropy_error,fixed_field,1.0,2600000000,10,-0.09651521169934854,0.03513081191079085,0.975,-0.19084182273729078,-0.0021886006614063175
half_chain_entropy_error,fixed_field,1.1,2600000000,10,-0.09687114018634786,0.016345205830395643,0.975,-0.14075819513440777,-0.052984085238287966
half_chain_entropy_error,equal_weight_fixed_fields,,2600000000,30,-0.0900687016665616,,0.975,-0.11835780928776266,-0.05888664235145827
half_chain_entropy_error,fixed_field,0.9,8400000000,10,-0.015827600996091075,0.010455876365674629,0.975,-0.04390174245089929,0.01224654045871714
half_chain_entropy_error,fixed_field,1.0,8400000000,10,-0.040338313392272146,0.02427781450844495,0.975,-0.1055245086844448,0.024847881899900504
half_chain_entropy_error,fixed_field,1.1,8400000000,10,-0.0351674656432878,0.005686593866887805,0.975,-0.0504360318573215,-0.019898899429254102
half_chain_entropy_error,equal_weight_fixed_fields,,8400000000,30,-0.03044446001055034,,0.975,-0.04877787545224642,-0.010441824103969863
