field,restart,architecture,converged,completed_steps,final_gradient_norm,elapsed_seconds,fidelity,zz_long_range_mae,energy_density_error,half_chain_entropy_error,joint_failure,eta_sum
1.0,215,MPS,False,5000,0.00025269492657246077,228.97614479192998,0.9884279100439393,0.06148374242450953,0.002176527021867214,0.03886305597060924,0.01157208995606096,0.020345036253267612
1.0,216,MERA_PM225,False,5000,0.0002596717235692541,405.33922570804134,0.9834905606424266,0.025588215983664855,0.004204164711751446,0.010120185573819551,0.01650943935757332,0.030851258836104085
1.0,216,MPS,False,5000,0.00020056619944492325,230.45124629104976,0.9884643558797906,0.061151684829227795,0.0021821147427267817,0.039941884530832916,0.011535644120208577,0.019488002504378255
1.0,217,MERA_PM225,False,5000,0.00030177451207611593,407.53490683308337,0.9940400200332571,0.013340310653471566,0.0013031213832808142,0.0030738281502811216,0.005959979966743245,0.009074173625026976
1.0,217,MPS,False,5000,0.00023033906886475546,230.84052683296613,0.9884761881940713,0.06108204929829099,0.002185973928673368,0.03935216417777565,0.011523811805928097,0.019333437161994746
1.0,218,MERA_PM225,False,5000,0.0018260232998715468,408.24982987495605,0.9930490741059651,0.033243881324849595,0.0013572095164224862,0.007658002996737467,0.006950925894034676,0.010327316752362781
1.0,218,MPS,False,5000,0.0002698039514045861,229.38253354199696,0.9884658133522861,0.06116419047955505,0.002178433701561344,0.03964782114952703,0.011534186647713995,0.019515046312213093
1.0,219,MERA_PM225,False,5000,0.00018289782898001073,408.9705764170503,0.9937929554147678,0.013147614805233573,0.0013376477523217023,0.007867472310037815,0.006207044585231469,0.009435996068750471
1.0,219,MPS,False,5000,0.0002078236794190776,229.7055017920211,0.9884743030619392,0.06110161420055893,0.0021858485975780884,0.039550605555976115,0.011525696938060492,0.01936508120974517
1.1,200,MERA_PM225,False,5000,0.0001583316747562605,408.12756487505976,0.9974851870254389,0.007087465455905748,0.0006253871605748085,0.0034897751005474875,0.0025148129745611314,0.004062727223726337
1.1,200,MPS,False,5000,0.00033363032919402465,234.34826637501828,0.9945569922638199,0.03072410850197792,0.0011485739901062608,0.017727274604447008,0.005443007736178451,0.009854451195037387
1.1,201,MERA_PM225,False,5000,0.00026710282398881275,394.5236075000139,0.9974815496425096,0.009831407621282484,0.000608833756860605,0.002536115696536223,0.0025184503574913197,0.004499386134805574
1.1,201,MPS,False,5000,0.00023386406232439968,217.1375361670507,0.9945633771616549,0.030767612236343753,0.0011450532921228884,0.01876098007387289,0.0054366228383444515,0.009918949564386704
1.1,202,MERA_PM225,False,5000,0.00017079694199420803,405.3731411669869,0.9975207204743252,0.0114593524693844,0.0005968991129052803,0.0017832560261161756,0.002479279525674838,0.004575113070879281
1.1,202,MPS,False,5000,0.000334066796864134,231.61819225002546,0.9945608482570906,0.030793199282466727,0.0011409007228213586,0.018566176481326746,0.005439151742909987,0.00993663552529474
1.1,203,MERA_PM225,False,5000,0.00010629818443122067,414.23330404190347,0.9975904409138292,0.008907167053797042,0.0005908672195931164,0.0035327946166950897,0.0024095590861713534,0.004008228716258202
1.1,203,MPS,False,5000,0.000244297949648232,232.36673562496435,0.9945611940419926,0.03069327888608458,0.001148013581382168,0.018221278274098585,0.005438805958006054,0.009801968245838526
1.1,204,MERA_PM225,False,5000,9.901613003767311e-05,419.78751262498554,0.9986729040648975,0.007062148980755984,0.00035179229261905753,0.004196483929416406,0.0013270959351022737,0.002513328042637111
1.1,204,MPS,False,5000,0.0002917352762781595,236.15241433295887,0.9945490064147385,0.030665185086002047,0.001148337988478243,0.020119714609276695,0.0054509935852613545,0.010082756581651165
1.1,205,MERA_PM225,False,5000,0.00016236565351213051,418.4808127079159,0.997420792796797,0.01138361664018675,0.0006127198682566171,0.0022548669486622264,0.002579207203203704,0.004195555827891454
1.1,205,MPS,False,5000,0.0002559837340857796,232.65907545795199,0.9945636558506589,0.03073261178149503,0.0011456217031025062,0.01819044520209978,0.0054363441493414655,0.00962780722919121
1.1,206,MERA_PM225,False,5000,0.00024124140552850236,409.6484154999489,0.9975202774507834,0.012658077647375782,0.0005897263241803063,0.0031032178389114318,0.0024797225492159125,0.004509650042612941
